C:\Code\GraphicsPractice\QtOpenGLPractice\build\Release>2DRenderer.exe PersistMapOperation  CirNumDim=400 PersistMem=64
wait count is (ms): 0.104523
wait count is (ms): 0.207277
wait count is (ms): 0.112293
wait count is (ms): 0.131383
wait count is (ms): 0.171837
wait count is (ms): 0.18888
wait count is (ms): 0.11694
wait count is (ms): 0.24055
wait count is (ms): 0.13954
wait count is (ms): 0.209257
wait count is (ms): 0.172817
wait count is (ms): 0.270873
wait count is (ms): 0.12207
wait count is (ms): 0.255943
wait count is (ms): 0.135427
wait count is (ms): 0.111957
wait count is (ms): 0.168623
wait count is (ms): 0.17215
wait count is (ms): 0.23732
wait count is (ms): 0.23411
wait count is (ms): 0.187547
wait count is (ms): 0.188647
wait count is (ms): 0.13475
wait count is (ms): 0.132357
wait count is (ms): 0.10595
wait count is (ms): 0.20199
wait count is (ms): 0.20972
wait count is (ms): 0.115377
wait count is (ms): 0.142223
wait count is (ms): 0.17218
wait count is (ms): 0.115027
wait count is (ms): 0.136637
wait count is (ms): 0.27193
wait count is (ms): 0.153393
wait count is (ms): 0.102213
wait count is (ms): 0.168753
wait count is (ms): 0.164177
wait count is (ms): 0.121773
wait count is (ms): 0.203187
wait count is (ms): 0.185767
wait count is (ms): 0.104867
wait count is (ms): 0.21321
wait count is (ms): 0.297117
wait count is (ms): 0.12655
wait count is (ms): 0.231367
wait count is (ms): 0.193383
wait count is (ms): 0.1909
wait count is (ms): 0.144507
wait count is (ms): 0.23973
wait count is (ms): 0.19586
wait count is (ms): 0.122833
wait count is (ms): 0.23227
wait count is (ms): 0.134197
wait count is (ms): 0.127493
wait count is (ms): 0.145953
wait count is (ms): 0.183207
wait count is (ms): 0.110693
wait count is (ms): 0.130083
wait count is (ms): 0.197203
wait count is (ms): 0.172807
wait count is (ms): 0.12076
wait count is (ms): 0.35267
wait count is (ms): 0.14804
wait count is (ms): 0.137423
wait count is (ms): 0.26037
wait count is (ms): 0.0982867
wait count is (ms): 0.13774
wait count is (ms): 0.164913
wait count is (ms): 0.133603
wait count is (ms): 0.12179
wait count is (ms): 0.22291
wait count is (ms): 0.160443
wait count is (ms): 0.174837
wait count is (ms): 0.15282
wait count is (ms): 0.12281
wait count is (ms): 0.16106
wait count is (ms): 0.10174
wait count is (ms): 0.20724
wait count is (ms): 0.132997
wait count is (ms): 0.100453
wait count is (ms): 0.16186
wait count is (ms): 0.307327
wait count is (ms): 0.13603
wait count is (ms): 0.141957
wait count is (ms): 0.104983
wait count is (ms): 0.138207
wait count is (ms): 0.14574
wait count is (ms): 0.368457
wait count is (ms): 0.10976
wait count is (ms): 0.183517
wait count is (ms): 0.141123
wait count is (ms): 0.131727
wait count is (ms): 0.12328
wait count is (ms): 0.208293
wait count is (ms): 0.18369
wait count is (ms): 0.127977
wait count is (ms): 0.144323
wait count is (ms): 0.143033
wait count is (ms): 0.15052
wait count is (ms): 0.143057
wait count is (ms): 0.112643
wait count is (ms): 0.17021
wait count is (ms): 0.126963
wait count is (ms): 0.0977167
wait count is (ms): 0.174773
wait count is (ms): 0.19643
wait count is (ms): 0.16496
wait count is (ms): 0.180477
wait count is (ms): 0.129587
wait count is (ms): 0.152853
wait count is (ms): 0.173913
wait count is (ms): 0.119607
wait count is (ms): 0.19171
wait count is (ms): 0.102137
wait count is (ms): 0.169123
wait count is (ms): 0.328157
wait count is (ms): 0.170967
wait count is (ms): 0.136303
wait count is (ms): 0.18935
wait count is (ms): 0.132957
wait count is (ms): 0.141947
wait count is (ms): 0.114523
wait count is (ms): 0.17016
wait count is (ms): 0.11662
wait count is (ms): 0.15437
wait count is (ms): 0.293813
wait count is (ms): 0.0987467
wait count is (ms): 0.14582
wait count is (ms): 0.22577
wait count is (ms): 0.176643
wait count is (ms): 0.144207
wait count is (ms): 0.169813
wait count is (ms): 0.13598
wait count is (ms): 0.13458
wait count is (ms): 0.197347
wait count is (ms): 0.191387
wait count is (ms): 0.102267
wait count is (ms): 0.145647
wait count is (ms): 0.29995
wait count is (ms): 0.120037
wait count is (ms): 0.266583
wait count is (ms): 0.18441
wait count is (ms): 0.18196
wait count is (ms): 0.12256
wait count is (ms): 0.144
wait count is (ms): 0.144783
wait count is (ms): 0.12482
wait count is (ms): 0.28783
wait count is (ms): 0.11299
wait count is (ms): 0.146413
wait count is (ms): 0.15538
wait count is (ms): 0.185673
wait count is (ms): 0.163457
wait count is (ms): 0.143563
wait count is (ms): 0.144777
wait count is (ms): 0.148727
wait count is (ms): 0.101893
wait count is (ms): 0.198117
wait count is (ms): 0.1492
wait count is (ms): 0.10715
wait count is (ms): 0.15725
wait count is (ms): 0.21129
wait count is (ms): 0.101
wait count is (ms): 0.236273
wait count is (ms): 0.236357
wait count is (ms): 0.131027
wait count is (ms): 0.15169
wait count is (ms): 0.162153
wait count is (ms): 0.153527
wait count is (ms): 0.136267
wait count is (ms): 0.21134
wait count is (ms): 0.135653
wait count is (ms): 0.119997
wait count is (ms): 0.187613
wait count is (ms): 0.169583
wait count is (ms): 0.1137
wait count is (ms): 0.241437
wait count is (ms): 0.159003
wait count is (ms): 0.183033
wait count is (ms): 0.133007
wait count is (ms): 0.224757
wait count is (ms): 0.113433
wait count is (ms): 0.251677
wait count is (ms): 0.104633
wait count is (ms): 0.152907
wait count is (ms): 0.14373
wait count is (ms): 0.183753
wait count is (ms): 0.12161
wait count is (ms): 0.15882
wait count is (ms): 0.284223
wait count is (ms): 0.182483
wait count is (ms): 0.12951
wait count is (ms): 0.183557
wait count is (ms): 0.120953
wait count is (ms): 0.16286
wait count is (ms): 0.330817
wait count is (ms): 0.143303
wait count is (ms): 0.238173
wait count is (ms): 0.138347
wait count is (ms): 0.16466
wait count is (ms): 0.0986167
wait count is (ms): 0.181427
wait count is (ms): 0.224953
wait count is (ms): 0.109757
wait count is (ms): 0.185883
wait count is (ms): 0.132243
wait count is (ms): 0.141217
wait count is (ms): 0.188663
wait count is (ms): 0.16541
wait count is (ms): 0.14281
wait count is (ms): 0.186137
wait count is (ms): 0.170627
wait count is (ms): 0.125183
wait count is (ms): 0.182293
wait count is (ms): 0.178177
wait count is (ms): 0.121823
wait count is (ms): 0.22911
wait count is (ms): 0.25549
wait count is (ms): 0.102163
wait count is (ms): 0.130103
wait count is (ms): 0.154637
wait count is (ms): 0.120693
wait count is (ms): 0.2085
wait count is (ms): 0.1786
wait count is (ms): 0.125643
wait count is (ms): 0.12691
wait count is (ms): 0.1505
wait count is (ms): 0.208863
wait count is (ms): 0.104273
wait count is (ms): 0.146897
wait count is (ms): 0.17328
wait count is (ms): 0.11519
wait count is (ms): 0.185133
wait count is (ms): 0.186717
wait count is (ms): 0.185927
wait count is (ms): 0.179607
wait count is (ms): 0.136153
wait count is (ms): 0.13176
wait count is (ms): 0.114253
wait count is (ms): 0.183503
wait count is (ms): 0.141483
wait count is (ms): 0.16116
wait count is (ms): 0.187763
wait count is (ms): 0.16775
wait count is (ms): 0.149037
wait count is (ms): 0.177277
wait count is (ms): 0.111143
wait count is (ms): 0.210583
wait count is (ms): 0.156567
wait count is (ms): 0.291537
wait count is (ms): 0.120923
wait count is (ms): 0.167793
wait count is (ms): 0.113043
wait count is (ms): 0.161617
wait count is (ms): 0.15016
wait count is (ms): 0.11094
wait count is (ms): 0.12441
wait count is (ms): 0.149927
wait count is (ms): 0.103443
wait count is (ms): 0.164363
wait count is (ms): 0.17944
wait count is (ms): 0.120447
wait count is (ms): 0.1845
wait count is (ms): 0.149953
wait count is (ms): 0.15455
wait count is (ms): 0.14766
wait count is (ms): 0.106053
wait count is (ms): 0.211643
wait count is (ms): 0.169737
wait count is (ms): 0.119933
wait count is (ms): 0.164383
wait count is (ms): 0.10607
wait count is (ms): 0.277197
wait count is (ms): 0.26544
wait count is (ms): 0.11813
wait count is (ms): 0.180207
wait count is (ms): 0.107243
wait count is (ms): 0.18538
wait count is (ms): 0.09502
wait count is (ms): 0.22889
wait count is (ms): 0.206
wait count is (ms): 0.120967
wait count is (ms): 0.10994
wait count is (ms): 0.206453
wait count is (ms): 0.136263
wait count is (ms): 0.136453
wait count is (ms): 0.219563
wait count is (ms): 0.163947
wait count is (ms): 0.183017
wait count is (ms): 0.09852
wait count is (ms): 0.163633
wait count is (ms): 0.10068
wait count is (ms): 0.213053
wait count is (ms): 0.0971233
wait count is (ms): 0.244347
wait count is (ms): 0.17478
wait count is (ms): 0.26239
wait count is (ms): 0.139533
wait count is (ms): 0.190193
wait count is (ms): 0.10014
wait count is (ms): 0.177423
wait count is (ms): 0.179217
wait count is (ms): 0.09837
wait count is (ms): 0.19488
wait count is (ms): 0.17037
wait count is (ms): 0.11768
wait count is (ms): 0.164257
wait count is (ms): 0.14267
wait count is (ms): 0.13261
wait count is (ms): 0.192067
wait count is (ms): 0.171937
wait count is (ms): 0.157267
wait count is (ms): 0.102103
wait count is (ms): 0.20288
wait count is (ms): 0.165007
wait count is (ms): 0.23153
wait count is (ms): 0.103323
wait count is (ms): 0.15702
wait count is (ms): 0.227157
wait count is (ms): 0.207407
wait count is (ms): 0.15321
wait count is (ms): 0.184943
wait count is (ms): 0.175287
wait count is (ms): 0.12247
wait count is (ms): 0.19563
wait count is (ms): 0.105403
wait count is (ms): 0.1613
wait count is (ms): 0.238333
wait count is (ms): 0.111223
wait count is (ms): 0.23555
wait count is (ms): 0.136957
wait count is (ms): 0.178827
wait count is (ms): 0.138627
wait count is (ms): 0.105663
wait count is (ms): 0.197977
wait count is (ms): 0.17275
wait count is (ms): 0.116837
wait count is (ms): 0.154223
wait count is (ms): 0.128997
wait count is (ms): 0.0987033
wait count is (ms): 0.11181
wait count is (ms): 0.25645
wait count is (ms): 0.155357
wait count is (ms): 0.175513
wait count is (ms): 0.142497
wait count is (ms): 0.18798
wait count is (ms): 0.190563
wait count is (ms): 0.0985867
wait count is (ms): 0.16493
wait count is (ms): 0.184833
wait count is (ms): 0.106343
wait count is (ms): 0.23278
wait count is (ms): 0.105767
wait count is (ms): 0.129623
wait count is (ms): 0.17628
wait count is (ms): 0.261937
wait count is (ms): 0.111903
wait count is (ms): 0.168263
wait count is (ms): 0.132083
wait count is (ms): 0.143143
wait count is (ms): 0.184837
wait count is (ms): 0.106263
wait count is (ms): 0.218797
wait count is (ms): 0.127507
wait count is (ms): 0.103803
wait count is (ms): 0.13363
wait count is (ms): 0.309627
wait count is (ms): 0.118703
wait count is (ms): 0.27496
wait count is (ms): 0.147707
wait count is (ms): 0.0975
wait count is (ms): 0.190547
wait count is (ms): 0.17109
wait count is (ms): 0.106953
wait count is (ms): 0.22371
wait count is (ms): 0.150553
wait count is (ms): 0.0932333
wait count is (ms): 0.123147
wait count is (ms): 0.139343
wait count is (ms): 0.11036
wait count is (ms): 0.136633
wait count is (ms): 0.162007
wait count is (ms): 0.104883
wait count is (ms): 0.21831
wait count is (ms): 0.170973
wait count is (ms): 0.108007
wait count is (ms): 0.156307
wait count is (ms): 0.241097
wait count is (ms): 0.102097
wait count is (ms): 0.275703
wait count is (ms): 0.17198
wait count is (ms): 0.1747
wait count is (ms): 0.256283
wait count is (ms): 0.141107
wait count is (ms): 0.13382
wait count is (ms): 0.10808
wait count is (ms): 0.205103
wait count is (ms): 0.192627
wait count is (ms): 0.0975133
wait count is (ms): 0.106893
wait count is (ms): 0.207733
wait count is (ms): 0.10038
wait count is (ms): 0.162673
wait count is (ms): 0.131107
wait count is (ms): 0.250923
wait count is (ms): 0.170043
wait count is (ms): 0.202743
wait count is (ms): 0.12343
wait count is (ms): 0.137957
wait count is (ms): 0.15006
wait count is (ms): 0.104763
wait count is (ms): 0.19588
wait count is (ms): 0.246933
wait count is (ms): 0.100963
